INFO  - 2015-04-07 19:10:11.197; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-04-07 19:10:11.205; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.205; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.206; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-04-07 19:10:11.206; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.208; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-04-07 19:10:11.209; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2015-04-07 19:10:11.209; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2015-04-07 19:10:11.209; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-04-07 19:10:11.209; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2015-04-07 19:10:11.209; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-04-07 19:10:11.210; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-04-07 19:10:11.210; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-04-07 19:10:11.210; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-04-07 19:10:11.211; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2015-04-07 19:10:11.212; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-04-07 19:10:11.214; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2015-04-07 19:10:11.220; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-04-07 19:10:11.220; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.220; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.220; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.220; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.220; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.220; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.221; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.221; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-04-07 19:10:11.221; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
